task_id	pallet_id	pallet_x	pallet_y	station_x	station_y	reload_x	reload_y
0	600	32	18	41	16	2	25
1	435	24	23	41	17	2	27
2	547	30	2	41	10	2	1
3	639	34	14	41	7	2	6
4	543	29	27	41	29	2	2
5	40	5	29	41	21	2	17
6	747	39	18	41	1	2	5
7	154	11	11	41	28	2	10
8	488	27	8	41	23	2	17
9	267	16	23	41	6	2	26
10	146	10	31	41	30	2	29
11	395	22	26	41	14	2	10
12	145	10	29	41	7	2	17
13	182	12	21	41	20	2	10
14	530	29	8	41	7	2	19
15	404	23	8	41	21	2	17
16	702	37	14	41	7	2	4
17	36	5	23	41	15	2	4
18	437	24	26	41	10	2	12
19	204	13	23	41	15	2	5
20	628	33	29	41	24	2	19
21	569	31	3	41	8	2	23
22	370	21	20	41	9	2	14
23	48	6	9	41	25	2	24
24	583	31	24	41	21	2	0
25	123	9	27	41	7	2	20
26	9	4	14	41	27	2	26
27	252	16	0	41	12	2	9
28	4	4	6	41	8	2	5
29	554	30	12	41	2	2	22
30	415	23	24	41	22	2	23
31	278	17	8	41	3	2	21
32	545	29	31	41	28	2	24
33	430	24	15	41	13	2	21
34	350	20	21	41	30	2	1
35	629	33	31	41	9	2	29
36	596	32	12	41	16	2	16
37	14	4	21	41	2	2	4
38	520	28	24	41	30	2	9
39	752	39	26	41	4	2	5
40	308	18	21	41	26	2	16
41	321	19	9	41	10	2	7
42	361	21	6	41	23	2	14
43	245	15	21	41	25	2	11
44	445	25	6	41	11	2	20
45	159	11	18	41	13	2	13
46	116	9	17	41	7	2	26
47	591	32	5	41	15	2	10
48	265	16	20	41	30	2	9
49	291	17	27	41	5	2	28
50	71	7	12	41	7	2	19
51	561	30	23	41	18	2	21
52	714	38	0	41	7	2	5
53	436	24	24	41	19	2	24
54	685	36	20	41	1	2	20
55	365	21	12	41	6	2	16
56	327	19	18	41	6	2	20
57	667	35	24	41	16	2	18
58	339	20	5	41	19	2	19
59	214	14	6	41	28	2	3
60	23	5	3	41	19	2	18
61	553	30	11	41	1	2	9
62	558	30	18	41	19	2	2
63	215	14	8	41	17	2	15
64	498	27	23	41	13	2	8
65	197	13	12	41	22	2	20
66	256	16	6	41	13	2	20
67	541	29	24	41	23	2	23
68	525	29	0	41	15	2	28
69	485	27	3	41	28	2	10
70	331	19	24	41	2	2	11
71	606	32	27	41	27	2	29
72	666	35	23	41	1	2	29
73	311	18	26	41	18	2	14
74	531	29	9	41	19	2	27
75	338	20	3	41	19	2	24
76	571	31	6	41	8	2	9
77	529	29	6	41	1	2	26
78	592	32	6	41	23	2	7
79	82	7	29	41	8	2	27
80	288	17	23	41	25	2	29
81	536	29	17	41	26	2	6
82	149	11	3	41	8	2	21
83	610	33	2	41	6	2	12
84	293	17	31	41	28	2	26
85	38	5	26	41	3	2	5
86	1	4	2	41	24	2	29
87	550	30	6	41	7	2	22
88	179	12	17	41	2	2	10
89	499	27	24	41	4	2	13
90	511	28	11	41	25	2	2
91	512	28	12	41	2	2	1
92	559	30	20	41	18	2	13
93	287	17	21	41	16	2	20
94	362	21	8	41	29	2	27
95	440	24	31	41	20	2	24
96	665	35	21	41	18	2	20
97	332	19	26	41	23	2	15
98	594	32	9	41	22	2	26
99	73	7	15	41	1	2	22
100	93	8	14	41	26	2	28
101	170	12	3	41	28	2	17
102	452	25	17	41	12	2	6
103	314	18	31	41	26	2	14
104	425	24	8	41	16	2	24
105	456	25	23	41	28	2	25
106	42	6	0	41	5	2	24
107	326	19	17	41	24	2	19
108	391	22	20	41	14	2	6
109	129	10	5	41	18	2	25
110	526	29	2	41	16	2	9
111	749	39	21	41	8	2	14
112	384	22	9	41	1	2	8
113	55	6	20	41	19	2	2
114	212	14	3	41	23	2	19
115	165	11	27	41	16	2	5
116	39	5	27	41	27	2	27
117	114	9	14	41	20	2	28
118	409	23	15	41	7	2	4
119	202	13	20	41	21	2	23
120	300	18	9	41	8	2	3
121	169	12	2	41	19	2	9
122	400	23	2	41	10	2	15
123	617	33	12	41	13	2	28
124	394	22	24	41	2	2	27
125	319	19	6	41	4	2	8
126	454	25	20	41	12	2	2
127	276	17	5	41	3	2	2
128	324	19	14	41	24	2	12
129	87	8	5	41	17	2	1
130	66	7	5	41	19	2	0
131	236	15	8	41	15	2	20
132	521	28	26	41	12	2	6
133	389	22	17	41	27	2	8
134	581	31	21	41	1	2	14
135	597	32	14	41	20	2	26
136	695	37	3	41	11	2	14
137	578	31	17	41	9	2	7
138	233	15	3	41	5	2	15
139	407	23	12	41	17	2	18
140	196	13	11	41	23	2	14
141	263	16	17	41	26	2	29
142	171	12	5	41	26	2	15
143	22	5	2	41	30	2	16
144	81	7	27	41	26	2	19
145	446	25	8	41	1	2	15
146	556	30	15	41	3	2	3
147	719	38	8	41	27	2	29
148	284	17	17	41	6	2	12
149	590	32	3	41	20	2	23
150	481	26	29	41	30	2	14
151	396	22	27	41	16	2	9
152	383	22	8	41	11	2	28
153	621	33	18	41	30	2	8
154	636	34	9	41	30	2	18
155	363	21	9	41	23	2	17
156	305	18	17	41	21	2	15
157	19	4	29	41	27	2	12
158	469	26	11	41	21	2	8
159	484	27	2	41	18	2	10
160	548	30	3	41	24	2	27
161	538	29	20	41	4	2	9
162	45	6	5	41	16	2	23
163	455	25	21	41	3	2	22
164	461	25	31	41	14	2	12
165	244	15	20	41	7	2	15
166	181	12	20	41	22	2	11
167	489	27	9	41	19	2	20
168	750	39	23	41	27	2	2
169	150	11	5	41	23	2	1
170	417	23	27	41	18	2	27
171	495	27	18	41	29	2	26
172	10	4	15	41	17	2	20
173	11	4	17	41	6	2	15
174	175	12	11	41	10	2	16
175	568	31	2	41	3	2	13
176	405	23	9	41	20	2	27
177	427	24	11	41	13	2	4
178	118	9	20	41	30	2	23
179	84	8	0	41	4	2	14
180	286	17	20	41	12	2	20
181	229	14	29	41	7	2	25
182	340	20	6	41	11	2	14
183	690	36	27	41	23	2	27
184	420	24	0	41	22	2	3
185	94	8	15	41	12	2	23
186	232	15	2	41	13	2	2
187	390	22	18	41	27	2	25
188	443	25	3	41	8	2	16
189	718	38	6	41	3	2	21
190	411	23	18	41	11	2	10
191	746	39	17	41	25	2	15
192	302	18	12	41	12	2	24
193	266	16	21	41	18	2	29
194	733	38	29	41	16	2	21
195	295	18	2	41	21	2	28
196	564	30	27	41	28	2	26
197	6	4	9	41	7	2	5
198	523	28	29	41	4	2	20
199	231	15	0	41	3	2	21
200	35	5	21	41	12	2	21
201	239	15	12	41	18	2	8
202	260	16	12	41	9	2	24
203	505	28	2	41	26	2	15
204	619	33	15	41	25	2	16
205	522	28	27	41	26	2	20
206	533	29	12	41	14	2	4
207	728	38	21	41	21	2	16
208	353	20	26	41	1	2	4
209	85	8	2	41	30	2	6
210	386	22	12	41	10	2	14
211	730	38	24	41	14	2	12
212	303	18	14	41	7	2	25
213	348	20	18	41	23	2	19
214	68	7	8	41	24	2	25
215	687	36	23	41	23	2	11
216	285	17	18	41	7	2	15
217	392	22	21	41	30	2	24
218	257	16	8	41	14	2	27
219	33	5	18	41	8	2	2
220	586	31	29	41	6	2	19
221	726	38	18	41	24	2	6
222	112	9	11	41	26	2	15
223	318	19	5	41	10	2	28
224	237	15	9	41	18	2	16
225	320	19	8	41	1	2	19
226	209	13	31	41	10	2	25
227	307	18	20	41	28	2	0
228	47	6	8	41	29	2	21
229	589	32	2	41	2	2	24
230	398	22	31	41	30	2	28
231	482	26	31	41	7	2	18
232	240	15	14	41	27	2	10
233	255	16	5	41	9	2	7
234	122	9	26	41	16	2	21
235	618	33	14	41	25	2	20
236	24	5	5	41	25	2	20
